WARD,DIVISION,TYPE,OFFICE,CANDIDATE,PARTY,VOTES
1,3,M,REPRESENTATIVE IN THE GENERAL ASSEMBLY 184TH DISTRICT,MARK R COLANGELO,REPUBLICAN,92
1,3,M,REPRESENTATIVE IN THE GENERAL ASSEMBLY 184TH DISTRICT,WILLIAM F KELLER,DEMOCRATIC,284
1,3,M,SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,Write In,,1
1,3,M,SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,JOHN H MORLEY JR,REPUBLICAN,88
1,3,M,SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,VINCENT J FUMO,DEMOCRATIC,298
1,3,M,STATE TREASURER,Write In,,0
1,3,M,STATE TREASURER,BOB   CASEY JR,DEMOCRATIC,288
1,3,M,STATE TREASURER,DARRYL W PERRY,LIBERTARIAN,1
1,3,M,STATE TREASURER,JEAN CRAIGE PEPPER,REPUBLICAN,72
1,3,M,STATE TREASURER,MAX   LAMPENFELD,CONSTITUTION,3
1,3,M,STATE TREASURER,PAUL   TEESE,GREEN,11
1,3,M,UNITED STATES SENATOR,Write In,,0
1,3,M,UNITED STATES SENATOR,ARLEN   SPECTER,REPUBLICAN,148
1,3,M,UNITED STATES SENATOR,BETSY   SUMMERS,LIBERTARIAN,2
1,3,M,UNITED STATES SENATOR,JAMES N CLYMER,CONSTITUTION,7
1,3,M,UNITED STATES SENATOR,JOSEPH M HOEFFEL,DEMOCRATIC,237
1,3,P,ATTORNEY GENERAL,Write In,,0
1,3,P,ATTORNEY GENERAL,JIM   EISENHOWER,DEMOCRATIC,6
1,3,P,ATTORNEY GENERAL,MARAKAY J ROGERS,GREEN,0
1,3,P,ATTORNEY GENERAL,TOM   CORBETT,REPUBLICAN,1
1,3,P,AUDITOR GENERAL,Write In,,0
1,3,P,AUDITOR GENERAL,BEN G PRICE,GREEN,0
1,3,P,AUDITOR GENERAL,BERLIE R ETZEL JR,LIBERTARIAN,0
1,3,P,AUDITOR GENERAL,JACK   WAGNER,DEMOCRATIC,6
1,3,P,AUDITOR GENERAL,JOE   PETERS,REPUBLICAN,1
1,3,P,AUDITOR GENERAL,LEONARD E RITCHEY,CONSTITUTION,0
1,3,P,No Vote,No Vote,,0
1,3,P,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,Write In,,0
1,3,P,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,DAVID K COBB,GREEN,0
1,3,P,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,GEORGE W BUSH,REPUBLICAN,1
1,3,P,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,JOHN F KERRY,DEMOCRATIC,6
1,3,P,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,MICHAEL   BADNARIK,LIBERTARIAN,0
1,3,P,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,MICHAEL ANTHONY PEROUTKA,CONSTITUTION,0
1,3,P,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,RALPH   NADER,INDEPENDENT,0
1,3,P,QUESTION,NO,,0
1,3,P,QUESTION,YES,,4
1,3,P,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,Write In,,0
1,3,P,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,CHRISTOPHER   RANDOLPH,RANDOLPH FOR CONGRESS,0
1,3,P,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,DEBORAH L WILLIAMS,REPUBLICAN,1
1,3,P,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,ROBERT A BRADY,DEMOCRATIC,4
1,3,P,REPRESENTATIVE IN THE GENERAL ASSEMBLY 184TH DISTRICT,Write In,,0
1,3,P,REPRESENTATIVE IN THE GENERAL ASSEMBLY 184TH DISTRICT,MARK R COLANGELO,REPUBLICAN,1
1,3,P,REPRESENTATIVE IN THE GENERAL ASSEMBLY 184TH DISTRICT,WILLIAM F KELLER,DEMOCRATIC,3
1,3,P,SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,Write In,,0
1,3,P,SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,JOHN H MORLEY JR,REPUBLICAN,1
1,3,P,SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,VINCENT J FUMO,DEMOCRATIC,5
1,3,P,STATE TREASURER,Write In,,0
1,3,P,STATE TREASURER,BOB   CASEY JR,DEMOCRATIC,6
1,3,P,STATE TREASURER,DARRYL W PERRY,LIBERTARIAN,0
1,3,P,STATE TREASURER,JEAN CRAIGE PEPPER,REPUBLICAN,1
1,3,P,STATE TREASURER,MAX   LAMPENFELD,CONSTITUTION,0
1,3,P,STATE TREASURER,PAUL   TEESE,GREEN,0
1,3,P,UNITED STATES SENATOR,Write In,,0
1,3,P,UNITED STATES SENATOR,ARLEN   SPECTER,REPUBLICAN,1
1,3,P,UNITED STATES SENATOR,BETSY   SUMMERS,LIBERTARIAN,0
1,3,P,UNITED STATES SENATOR,JAMES N CLYMER,CONSTITUTION,0
1,3,P,UNITED STATES SENATOR,JOSEPH M HOEFFEL,DEMOCRATIC,6
1,4,A,ATTORNEY GENERAL,Write In,,0
1,4,A,ATTORNEY GENERAL,JIM   EISENHOWER,DEMOCRATIC,6
1,4,A,ATTORNEY GENERAL,MARAKAY J ROGERS,GREEN,0
1,4,A,ATTORNEY GENERAL,TOM   CORBETT,REPUBLICAN,3
1,4,A,AUDITOR GENERAL,Write In,,0
1,4,A,AUDITOR GENERAL,BEN G PRICE,GREEN,0
1,4,A,AUDITOR GENERAL,BERLIE R ETZEL JR,LIBERTARIAN,0
1,4,A,AUDITOR GENERAL,JACK   WAGNER,DEMOCRATIC,4
1,4,A,AUDITOR GENERAL,JOE   PETERS,REPUBLICAN,5
1,4,A,AUDITOR GENERAL,LEONARD E RITCHEY,CONSTITUTION,0
1,4,A,No Vote,No Vote,,0
1,4,A,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,Write In,,0
1,4,A,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,DAVID K COBB,GREEN,0
1,4,A,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,GEORGE W BUSH,REPUBLICAN,6
1,4,A,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,JOHN F KERRY,DEMOCRATIC,5
1,4,A,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,MICHAEL   BADNARIK,LIBERTARIAN,0
1,4,A,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,MICHAEL ANTHONY PEROUTKA,CONSTITUTION,0
1,4,A,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,RALPH   NADER,INDEPENDENT,0
1,4,A,QUESTION,NO,,0
1,4,A,QUESTION,YES,,6
1,4,A,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,Write In,,0
1,4,A,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,CHRISTOPHER   RANDOLPH,RANDOLPH FOR CONGRESS,0
1,4,A,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,DEBORAH L WILLIAMS,REPUBLICAN,1
1,4,A,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,ROBERT A BRADY,DEMOCRATIC,8
1,4,A,REPRESENTATIVE IN THE GENERAL ASSEMBLY 184TH DISTRICT,Write In,,0
1,4,A,REPRESENTATIVE IN THE GENERAL ASSEMBLY 184TH DISTRICT,MARK R COLANGELO,REPUBLICAN,0
1,4,A,REPRESENTATIVE IN THE GENERAL ASSEMBLY 184TH DISTRICT,WILLIAM F KELLER,DEMOCRATIC,9
1,4,A,SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,Write In,,0
1,4,A,SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,JOHN H MORLEY JR,REPUBLICAN,1
1,4,A,SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,VINCENT J FUMO,DEMOCRATIC,8
1,4,A,STATE TREASURER,Write In,,0
1,4,A,STATE TREASURER,BOB   CASEY JR,DEMOCRATIC,7
1,4,A,STATE TREASURER,DARRYL W PERRY,LIBERTARIAN,0
1,4,A,STATE TREASURER,JEAN CRAIGE PEPPER,REPUBLICAN,2
1,4,A,STATE TREASURER,MAX   LAMPENFELD,CONSTITUTION,0
1,4,A,STATE TREASURER,PAUL   TEESE,GREEN,0
1,4,A,UNITED STATES SENATOR,Write In,,0
1,4,A,UNITED STATES SENATOR,ARLEN   SPECTER,REPUBLICAN,8
1,4,A,UNITED STATES SENATOR,BETSY   SUMMERS,LIBERTARIAN,0
1,4,A,UNITED STATES SENATOR,JAMES N CLYMER,CONSTITUTION,0
1,4,A,UNITED STATES SENATOR,JOSEPH M HOEFFEL,DEMOCRATIC,1
1,4,M,ATTORNEY GENERAL,Write In,,0
1,4,M,ATTORNEY GENERAL,JIM   EISENHOWER,DEMOCRATIC,199
1,4,M,ATTORNEY GENERAL,MARAKAY J ROGERS,GREEN,8
1,4,M,ATTORNEY GENERAL,TOM   CORBETT,REPUBLICAN,109
1,4,M,AUDITOR GENERAL,Write In,,0
1,4,M,AUDITOR GENERAL,BEN G PRICE,GREEN,8
1,4,M,AUDITOR GENERAL,BERLIE R ETZEL JR,LIBERTARIAN,1
1,4,M,AUDITOR GENERAL,JACK   WAGNER,DEMOCRATIC,191
1,4,M,AUDITOR GENERAL,JOE   PETERS,REPUBLICAN,100
1,4,M,AUDITOR GENERAL,LEONARD E RITCHEY,CONSTITUTION,1
1,4,M,No Vote,No Vote,,0
1,4,M,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,Write In,,0
1,4,M,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,DAVID K COBB,GREEN,0
1,4,M,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,GEORGE W BUSH,REPUBLICAN,152
1,4,M,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,JOHN F KERRY,DEMOCRATIC,216
1,4,M,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,MICHAEL   BADNARIK,LIBERTARIAN,2
1,4,M,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,MICHAEL ANTHONY PEROUTKA,CONSTITUTION,0
1,4,M,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,RALPH   NADER,INDEPENDENT,0
1,4,M,QUESTION,NO,,55
1,4,M,QUESTION,YES,,117
1,4,M,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,Write In,,0
1,4,M,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,CHRISTOPHER   RANDOLPH,RANDOLPH FOR CONGRESS,2
1,4,M,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,DEBORAH L WILLIAMS,REPUBLICAN,86
1,4,M,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,ROBERT A BRADY,DEMOCRATIC,226
1,4,M,REPRESENTATIVE IN THE GENERAL ASSEMBLY 184TH DISTRICT,Write In,,0
1,4,M,REPRESENTATIVE IN THE GENERAL ASSEMBLY 184TH DISTRICT,MARK R COLANGELO,REPUBLICAN,86
1,4,M,REPRESENTATIVE IN THE GENERAL ASSEMBLY 184TH DISTRICT,WILLIAM F KELLER,DEMOCRATIC,251
1,4,M,SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,Write In,,0
1,4,M,SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,JOHN H MORLEY JR,REPUBLICAN,87
1,4,M,SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,VINCENT J FUMO,DEMOCRATIC,261
1,4,M,STATE TREASURER,Write In,,0
1,4,M,STATE TREASURER,BOB   CASEY JR,DEMOCRATIC,234
1,4,M,STATE TREASURER,DARRYL W PERRY,LIBERTARIAN,4
1,4,M,STATE TREASURER,JEAN CRAIGE PEPPER,REPUBLICAN,74
1,4,M,STATE TREASURER,MAX   LAMPENFELD,CONSTITUTION,0
1,4,M,STATE TREASURER,PAUL   TEESE,GREEN,6
1,4,M,UNITED STATES SENATOR,Write In,,0
1,4,M,UNITED STATES SENATOR,ARLEN   SPECTER,REPUBLICAN,177
1,4,M,UNITED STATES SENATOR,BETSY   SUMMERS,LIBERTARIAN,2
1,4,M,UNITED STATES SENATOR,JAMES N CLYMER,CONSTITUTION,6
1,4,M,UNITED STATES SENATOR,JOSEPH M HOEFFEL,DEMOCRATIC,172
1,4,P,ATTORNEY GENERAL,Write In,,0
1,4,P,ATTORNEY GENERAL,JIM   EISENHOWER,DEMOCRATIC,1
1,4,P,ATTORNEY GENERAL,MARAKAY J ROGERS,GREEN,0
1,4,P,ATTORNEY GENERAL,TOM   CORBETT,REPUBLICAN,0
1,4,P,AUDITOR GENERAL,Write In,,0
1,4,P,AUDITOR GENERAL,BEN G PRICE,GREEN,0
1,4,P,AUDITOR GENERAL,BERLIE R ETZEL JR,LIBERTARIAN,0
1,4,P,AUDITOR GENERAL,JACK   WAGNER,DEMOCRATIC,2
1,4,P,AUDITOR GENERAL,JOE   PETERS,REPUBLICAN,0
1,4,P,AUDITOR GENERAL,LEONARD E RITCHEY,CONSTITUTION,0
1,4,P,No Vote,No Vote,,0
1,4,P,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,Write In,,0
1,4,P,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,DAVID K COBB,GREEN,0
1,4,P,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,GEORGE W BUSH,REPUBLICAN,0
1,4,P,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,JOHN F KERRY,DEMOCRATIC,2
1,4,P,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,MICHAEL   BADNARIK,LIBERTARIAN,0
1,4,P,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,MICHAEL ANTHONY PEROUTKA,CONSTITUTION,0
